experiment,gt1_x,gt1_y,gt1_z,track1_x,track1_y,track1_z,track1_id,track1_conf,gt2_x,gt2_y,gt2_z,track2_x,track2_y,track2_z,track2_id,track2_conf,unmatched_trks,n_dets,n_trks,delta_t
mocap_cam_3,-0.20745316580939152,-2.398236126153551,0.9644972601935532,,,,,,0.13688375700724317,1.548085251865,0.9619751732589832,0.23066368159519754,1.3964607322657543,1.7391591279696497,0,1.0,0,1,1,1277275
mocap_cam_3,-0.22081690024622574,-2.388708675248507,0.9613698494848479,-0.2631833378488306,-2.3750132849749757,1.7063276929225588,1,1.0,0.13711415591731865,1.5477445076555076,0.9619775048626179,0.23066368159519754,1.3964607322657543,1.7391591279696499,0,0.9,0,1,2,1179889
mocap_cam_3,-0.23177799833392448,-2.382410788160712,0.9590430255014275,-0.2631833378488307,-2.3750132849749757,1.7063276929225595,1,0.9,0.13769494470793714,1.546668465837009,0.9617876176947883,0.12755996287417193,1.5011425605539428,1.4745743313492368,0,0.998828125,0,1,2,1201421
mocap_cam_3,-0.23177799833392448,-2.382410788160712,0.9590430255014275,-0.2631833378488307,-2.3750132849749757,1.7063276929225595,1,0.8,0.13769494470793714,1.546668465837009,0.9617876176947883,0.09959086042211363,1.5299478763033272,1.4031224292428661,0,0.9999776946380734,0,1,2,1137549
mocap_cam_3,-0.24356459542157985,-2.3755818724801245,0.9560520847029034,,,,,,0.13824943179931726,1.5456346098785125,0.9616848660388881,0.16764283231276325,1.4582636505233972,1.5762740124238959,0,1.0,0,1,2,1438733
mocap_cam_3,-0.24657028690691693,-2.37370328476261,0.9554169189676429,,,,,,0.13842696274172472,1.5453759511349277,0.961648375658568,0.10254688677995363,1.5259201634368387,1.408327790606703,0,1.0,0,1,2,1441639
mocap_cam_3,-0.25317221644382787,-2.369654269258987,0.953747636972078,-0.2898190842918807,-2.355986621103035,1.7021634721767553,1,1.0,0.13892841205488501,1.5448618156566594,0.9615081790790531,0.15642829144102535,1.4697318634705854,1.546533716037882,0,0.9,0,1,2,1114656
mocap_cam_3,-0.25988972054032955,-2.365448989704063,0.9518385260714498,-0.21461579084961552,-2.5004614592128593,1.248325097402328,1,1.0,0.13964745604337447,1.5442618912506973,0.9611462770404582,0.1010546534857511,1.5274762856738464,1.4045002088151413,0,0.8,0,1,2,1674753
mocap_cam_3,-0.28960612078556686,-2.348033166352613,0.9446879327220313,-0.30988308983673757,-2.356173174120278,1.6041931642753717,1,1.0,0.14350135672760006,1.5418011498882354,0.9600857246226752,,,,,,0,1,2,1367707
mocap_cam_3,-0.31066716631266694,-2.3352039018498365,0.9409266486068243,-0.23892239651414052,-2.4661729822185934,1.3243409123376624,1,0.9,0.1467522955041421,1.5394297089007745,0.9591775524018271,0.09204221420771352,1.5365506614727644,1.3799887609272983,0,0.99501953125,0,1,2,1197833
mocap_cam_3,-0.31066716631266694,-2.3352039018498365,0.9409266486068243,-0.24585538830126574,-2.4554257962706783,1.3516829981241152,1,0.8,0.1467522955041421,1.5394297089007745,0.9591775524018271,0.08592538791515383,1.5427729610014764,1.3636257116314878,0,0.9999173164367676,0,1,2,1141346
mocap_cam_3,-0.31066716631266694,-2.3352039018498365,0.9409266486068243,-0.21895520711883004,-2.515583296180481,1.1567684981517423,1,0.9939510345458984,0.1467522955041421,1.5394297089007745,0.9591775524018271,0.08413111365462028,1.5446396362869228,1.3590043673929149,0,0.8999173164367676,0,1,2,1665014
mocap_cam_3,-0.3228439697487071,-2.3280887011626357,0.9393109361192136,-0.2132224868220493,-2.53435871979236,1.0914084383138682,1,0.9998110606872614,0.1486307897437176,1.5373914330790428,0.959363295081792,0.09092731566386048,1.5375691997295944,1.3765087086691703,0,0.7999173164367677,0,1,2,1189198
mocap_cam_3,-0.3430422141869914,-2.3164787002949314,0.9374191186947679,-0.3122524218370689,-2.36489031255254,1.5570293628244636,1,0.8998110606872615,0.1510130049511786,1.5335874487437613,0.9601052395136701,0.21860255287328256,1.3760130417241088,1.6816131747813035,0,1.0,0,1,2,1305098
mocap_cam_3,-0.3504118501719193,-2.3121222969122246,0.9370128354363589,-0.371609234436942,-2.291097530106278,1.6340938583550437,1,1.0,0.15165813640986353,1.5321596089026208,0.9603297462094976,0.2218270411525851,1.3720004505626247,1.689374538536369,0,0.9,0,1,2,1499860
mocap_cam_3,-0.3504118501719193,-2.3121222969122246,0.9370128354363589,-0.21699658497824645,-2.54567226403731,1.0402697028295544,1,1.0,0.15165813640986353,1.5321596089026208,0.9603297462094976,0.10923960160633148,1.512105585295858,1.418375856922651,0,0.8,0,1,2,1148510
mocap_cam_3,-0.3504118501719193,-2.3121222969122246,0.9370128354363589,-0.2064078177903084,-2.5628750192118885,1.0003759660830747,1,0.9,0.15165813640986353,1.5321596089026208,0.9603297462094976,0.08260570749160902,1.5424210386548487,1.3503250011966672,0,0.99736328125,0,1,2,1473820
mocap_cam_3,-0.391292077968298,-2.2867691969401176,0.9369501359035637,-0.2639608239020862,-2.469373079266532,1.2172099406185852,1,0.8,0.15406063692921432,1.523592264834597,0.9610543264162281,0.11611462429276281,1.5084953823896827,1.4181604201271718,0,0.9999317972920835,0,1,2,1638524
mocap_cam_3,-0.42744191368218615,-2.26314055679432,0.9421269400233447,,,,,,0.15583268854701532,1.5153856278636983,0.961320759634769,0.24428881329051275,1.3341459417057204,1.7174019543078474,0,1.0,0,1,2,1535288
