experiment,robot_x,robot_y,robot_z,gt1_x,gt1_y,gt1_z,track1_x,track1_y,track1_z,track1_id,track1_conf,gt2_x,gt2_y,gt2_z,track2_x,track2_y,track2_z,track2_id,track2_conf,unmatched_trks,n_dets,n_trks,delta_t
mocap_robot_static_4,-2.774538406421324,2.5205955398476725,0.35286174305578294,-0.5628093016655024,3.706334001762054,1.0333378124010357,,,,,,-1.5392716825529944,-0.6100628785160743,0.9335382329719677,-1.6558388963143353,-0.6407709316604553,1.695412789586015,0,1.0,0,1,1,1360299
mocap_robot_static_4,-2.7745319993497692,2.5205612784076106,0.35289330909780775,-0.5633484046989804,3.7064725840150294,1.033325288040725,-0.510913865141394,3.7417936183508664,1.5473938682004458,1,1.0,-1.5393568071636765,-0.6097710285920359,0.933533208528778,-1.6558388963143356,-0.6407709316604553,1.6954127895860152,0,0.9,0,1,2,1072190
mocap_robot_static_4,-2.7745319993497692,2.5205612784076106,0.35289330909780775,-0.5633484046989804,3.7064725840150294,1.033325288040725,-0.5109138651413938,3.741793618350866,1.5473938682004458,1,0.9,-1.5393568071636765,-0.6097710285920359,0.933533208528778,-1.6558388963143356,-0.6407709316604553,1.6954127895860152,0,0.8,0,0,2,848009
mocap_robot_static_4,-2.7745319993497692,2.5205612784076106,0.35289330909780775,-0.563942218703492,3.706616091967879,1.0332939028560713,-0.5101489897029549,3.7436036413727694,1.5474340457499844,1,1.0,-1.5393248734523979,-0.6096627557213575,0.9335535124334875,,,,,,0,1,2,1002879
mocap_robot_static_4,-2.7748423457749745,2.520691618660351,0.35300794337243846,-0.5646138430662965,3.7067880232533077,1.0331061755382087,-0.510227852612421,3.7434170179377184,1.5474299032212893,1,0.9,-1.5392709381988443,-0.609210715767298,0.9336135436104119,,,,,,0,0,2,823804
mocap_robot_static_4,-2.7745545856967944,2.52057207521202,0.35291759674146983,-0.5650751953492279,3.7071042026569616,1.0333548965573154,-0.5102182447526209,3.7434397542507902,1.547430407905116,1,0.8,-1.5392493274993242,-0.6090064771844611,0.9336076320627982,,,,,,0,0,2,968265
mocap_robot_static_4,-2.774876881755306,2.5206867375596995,0.3530511278984681,-0.5661535247691729,3.707001014075635,1.0335003792782453,,,,,,-1.5394824628990706,-0.6092138178269955,0.9331648749381107,-1.655172763030117,-0.6391956665463829,1.6951890126971796,0,1.0,0,1,2,1087207
mocap_robot_static_4,-2.774849327472137,2.5207125296224624,0.352989312082575,-0.5662651570685754,3.707057931661755,1.0331880063732728,-0.5112780633653348,3.746169895194446,1.5487009596377723,1,1.0,-1.5393898853814063,-0.6089209910786397,0.9331228381258265,-1.6551594265338045,-0.6391641285375761,1.6951845325132233,0,0.9,0,1,2,1097727
mocap_robot_static_4,-2.7748186792985563,2.5206949968914545,0.3529852221406065,-0.5677227583093989,3.707234625600561,1.0332322693727052,-0.5109467725757922,3.74514190297636,1.548259596094608,1,0.9,-1.5392695660896851,-0.608599748692365,0.9330387089056795,-1.6553195585088551,-0.639542806979144,1.6952383263049895,0,0.8,0,0,2,1223093
mocap_robot_static_4,-2.774856692269084,2.52070203850635,0.3530062631894656,-0.5686977494885526,3.7075537628008193,1.033121285571513,-0.5113746638657886,3.746469645642887,1.548829656059459,1,0.8,-1.5394348902392467,-0.6084166929541042,0.9329579348874535,-1.6523808627935035,-0.6370645021054566,1.6948840202821078,0,1.0,0,1,2,1141329
mocap_robot_static_4,-2.77455095167847,2.520585200412735,0.35289730348538234,-0.5686977494885526,3.7075537628008193,1.033121285571513,,,,,,-1.5394919689562463,-0.6083420306044357,0.9329409918078959,-1.653928880676836,-0.6384938224311719,1.6950881858323743,0,0.9,0,0,2,700142
mocap_robot_static_4,-2.7745259939922513,2.5205648900614337,0.3528606749515839,-0.5692330642675207,3.707771407247473,1.0332506449778385,-0.5127489942898009,3.7481770724447054,1.5509556142015695,1,1.0,-1.5395027793398652,-0.6081471993817431,0.9329993023379902,-1.652213563291256,-0.6369100306477177,1.6948619554240054,0,0.8,0,1,2,1054586
mocap_robot_static_4,-2.7748312856652597,2.5206949755291728,0.3530089106342404,-0.5692330642675207,3.707771407247473,1.0332506449778385,-0.5115485475382544,3.7460311957762094,1.5491741413322146,1,0.9,-1.539548543564526,-0.6080472219219354,0.9329974296508058,,,,,,0,0,2,699291
mocap_robot_static_4,-2.7748046553442016,2.520698782534558,0.35296234847475316,-0.5707201631555606,3.7079749778518867,1.0331220919995725,-0.51310025605656,3.748804975705596,1.5514768895573627,1,0.8,-1.5398198717081688,-0.6073852033851072,0.9330272306852563,-1.6459981280580571,-0.6344476261016531,1.6960199064901529,0,1.0,0,1,2,1198215
mocap_robot_static_4,-2.7748176733010905,2.5206880076062634,0.3529744074619946,-0.5719944165513352,3.708163748270021,1.033038643770687,-0.5152493586750952,3.749154297800862,1.5492154565711973,1,1.0,-1.5400470483269209,-0.6070499937545416,0.9329150644533047,-1.6456028338227786,-0.6342439927674575,1.696065164648103,0,0.9,0,1,2,1117244
mocap_robot_static_4,-2.7745491490181697,2.520565747008631,0.35292048814306265,-0.5726865722670735,3.708368513007374,1.0329279921335925,-0.5126307419435981,3.746875868875863,1.549079174435303,1,0.9,-1.5402884619945476,-0.6067128357693571,0.9328197219131609,-1.6510352121354164,-0.6370424482208594,1.6954431989987837,0,0.8,0,0,2,713848
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,-0.5129498042357414,3.7471534813827074,1.5490957795727152,1,0.8,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,2,1320826
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,2,880650
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,2,819286
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,2,791423
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,2,798476
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,2,791453
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,1,807213
mocap_robot_static_4,-2.774515076469084,2.520567827221011,0.3528643686799401,-0.572898462338064,3.7085175553187297,1.032802313310263,,,,,,-1.5404647198046157,-0.6065262792434354,0.9327865362877346,,,,,,0,0,0,1014702
mocap_robot_static_4,-2.774482554911653,2.5205933982326703,0.3528178597079741,-0.6004700021616882,3.6874094161122177,1.0242144712725847,,,,,,-1.525414511515467,-0.6353312193491957,0.9475188313295735,-1.6088974677728949,-0.6002586686206949,1.6888241647648,2,1.0,0,1,1,1217693
mocap_robot_static_4,-2.7747198036301506,2.5206829076009485,0.35293610212823323,-0.6023682562478964,3.6837839433985984,1.0240723840456534,-0.5838168735430715,3.70192428385825,1.5378305874269496,3,1.0,-1.52096467420785,-0.6368006914792731,0.9475922095678669,-1.6088974677728949,-0.6002586686206949,1.6888241647647997,2,0.9,0,1,2,1018779
