experiment,robot_x,robot_y,robot_z,gt1_x,gt1_y,gt1_z,track1_x,track1_y,track1_z,track1_id,track1_conf,gt2_x,gt2_y,gt2_z,track2_x,track2_y,track2_z,track2_id,track2_conf,unmatched_trks,n_dets,n_trks,delta_t
mocap_robot_static_3,-2.7748212282759392,2.521042278924107,0.3530066084981798,0.3255796859728419,3.407471716513693,1.018656525648753,,,,,,0.8292779921232484,-0.9920359882672235,0.9422332591720155,0.7751846646375149,-1.006959015107908,1.6917456902310175,0,1.0,0,1,1,1078428
mocap_robot_static_3,-2.7747790219436617,2.521015480531391,0.35296305383837134,0.3255796859728419,3.407471716513693,1.018656525648753,0.3634311547400143,3.4510202439553432,1.5240853185661636,1,1.0,0.8291892760045575,-0.9920741706472092,0.9421921992654935,0.7751846646375149,-1.0069590151079078,1.6917456902310175,0,0.9,0,1,2,1033406
mocap_robot_static_3,-2.7747790219436617,2.521015480531391,0.35296305383837134,0.3255796859728419,3.407471716513693,1.018656525648753,0.3634311547400143,3.451020243955343,1.5240853185661634,1,0.9,0.8291892760045575,-0.9920741706472092,0.9421921992654935,,,,,,1,1,2,620719
mocap_robot_static_3,-2.7747790219436617,2.521015480531391,0.35296305383837134,0.32553914041191817,3.4073388600294154,1.0187149784802925,0.36356569385197623,3.450308890130064,1.5241063424348322,1,1.0,0.8291764490474322,-0.9919850440381023,0.9422006217269662,,,,,,1,1,2,559286
mocap_robot_static_3,-2.7747758104780833,2.5210333483619864,0.352990049141912,0.32583305021194814,3.406922271989557,1.0184154542715598,0.3635533746600953,3.450374025867479,1.5241044173658431,1,0.9,0.8292001749496017,-0.9916219086663448,0.9423229754566977,,,,,,1,1,2,572370
mocap_robot_static_3,-2.7747860840522387,2.521029183029722,0.35301888291239913,0.3259308370136462,3.406313498303896,1.0182808959130099,0.3635549738437632,3.450365570442117,1.524104667263638,1,0.8,0.8289246585514445,-0.9911818383595007,0.9425179958204627,,,,,,1,1,2,1528896
mocap_robot_static_3,-2.7745180002363714,2.5209045941014088,0.3529069218154779,0.32596410280665383,3.405973168177968,1.0182736919982829,,,,,,0.8287528056222554,-0.9910260658117945,0.9426121467537214,,,,,,1,1,2,1012297
mocap_robot_static_3,-2.7747846787650667,2.521025153318167,0.3529652287893059,0.3261371367240571,3.405411047853072,1.0182805897543559,0.36377681478567886,3.449548823113758,1.524201651730305,1,1.0,0.828195422888193,-0.9904231937392981,0.942803525441412,,,,,,1,1,2,1085582
mocap_robot_static_3,-2.7745131735755924,2.520880485455038,0.35290188368210695,0.3261967379635275,3.4045789285905133,1.0184789606438276,0.36369991588921474,3.449841159325892,1.5241696459611282,1,0.9,0.8266538607779766,-0.9886074911935768,0.9430504036069313,,,,,,1,1,2,1158176
mocap_robot_static_3,-2.774497227895869,2.520878299573879,0.3529093434728685,0.326338647215204,3.404341846871228,1.0183800828142575,0.3638043219145752,3.4494442529542635,1.5242131003577712,1,0.8,0.8263466513780477,-0.9881812769243983,0.9430782446211695,0.7576526264955377,-0.941735605706381,1.8816332223002066,0,1.0,0,1,2,725922
mocap_robot_static_3,-2.774774925593619,2.5210292679009214,0.3529919876151704,0.3263853741010195,3.404045290230443,1.018373350571762,0.36380328901168746,3.448528594545164,1.52434445619386,1,1.0,0.8250734011529478,-0.9867298971457742,0.9433469999368571,0.759326313424381,-0.9504290415401139,1.8528491170540142,0,0.9,0,1,2,1063111
mocap_robot_static_3,-2.774791543011868,2.5210181891185006,0.352992214972219,0.32651021039710726,3.4039413208630966,1.0182913524900667,0.36371931171142935,3.449355662150353,1.5242367283261549,1,0.9,0.8244430500255997,-0.9861812661224335,0.9433793194987173,,,,,,1,1,2,619146
mocap_robot_static_3,-2.774796822482756,2.5210133186432424,0.3530350227731874,0.32664120419931414,3.4038254980267992,1.0182942139262423,0.36373021690111706,3.4492482601608687,1.5242507177355356,1,0.8,0.823813592399099,-0.9856738464307054,0.9434391490839191,,,,,,1,1,2,561660
mocap_robot_static_3,-2.7747797561354,2.5210431042858534,0.3529807374703899,0.3267373132184009,3.403165837696019,1.0182008671740506,,,,,,0.8196356017390826,-0.982872002886159,0.9436849707328292,0.7593459923181671,-0.9743144178312362,1.761772981848361,0,1.0,0,1,2,1145813
mocap_robot_static_3,-2.7747788972056155,2.521022195899288,0.35298432640068955,0.32671419374840394,3.402852203770251,1.0182107224677945,0.363576606631624,3.4469361389926356,1.5243361779594353,1,1.0,0.8167851015428712,-0.9811222475267968,0.9437922387832919,0.7614603306349141,-0.9854254086867626,1.7243211416170545,0,0.9,0,1,2,1088718
mocap_robot_static_3,-2.7747979575763764,2.5210371214241576,0.35300585710629845,0.3267210359481228,3.4022184770678208,1.0181394154131191,0.3636653862647306,3.4486091688380203,1.5242619148404362,1,0.9,0.8117055979395571,-0.9780509467647497,0.9443079424828071,,,,,,1,1,2,1599145
mocap_robot_static_3,-2.774814725469506,2.521015205797733,0.35296314944394064,0.32676920742833726,3.4021175191535673,1.0182187639157427,0.3636538533030366,3.448391833077052,1.5242715620272596,1,0.8,0.8106292437275078,-0.9774099351923874,0.9444348996076004,,,,,,1,1,2,609999
mocap_robot_static_3,-2.7744916942452527,2.5208978692679316,0.3528664680519507,0.32676492604309176,3.4019877630152537,1.0181940962165248,,,,,,0.8096933497410377,-0.9765697658251465,0.944734535471692,0.7599578565082877,-0.9962236152912,1.6849886016335986,0,1.0,0,1,2,1073941
mocap_robot_static_3,-2.774810076157979,2.521031363475287,0.35297966247073537,0.32663643560617656,3.4015163801261843,1.0183043787520336,0.3631455333838157,3.444795692506218,1.524155119193225,1,1.0,0.8067439382924344,-0.9746170550702928,0.9453348893702447,0.7615255051923155,-1.0078510364579754,1.6436854669978858,0,0.9,0,1,2,616792
mocap_robot_static_3,-2.77478515674956,2.5210380881943073,0.35300008722522647,0.3266865341367169,3.4013606626684867,1.0183582577319408,0.3635549053367557,3.447846371575667,1.5242349039447207,1,0.9,0.805734274463413,-0.973998823153525,0.9454940801666174,,,,,,1,1,2,1032164
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,0.36341373581089625,3.4467943627248143,1.5242073906393794,1,0.8,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,1443680
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,985278
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,580666
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,1127440
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,513322
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,1169447
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,2,1017318
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,1,654271
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,1,523511
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,1,574424
mocap_robot_static_3,-2.7747581501246565,2.521035798092743,0.3529831028678348,0.3264565229645766,3.4005621426807005,1.0183495076311748,,,,,,0.7999406609706262,-0.9711697335475997,0.9466211674697227,,,,,,1,1,1,890665
mocap_robot_static_3,-2.7747933934814126,2.5209967263947477,0.3529875752725472,0.2924895367124612,3.390044683243162,1.0166539120163487,0.3348539309334353,3.408060072507102,1.5289180244438938,2,1.0,0.8044697531881978,-0.8943377901147932,0.9431801366673283,,,,,,1,1,2,1114736
mocap_robot_static_3,-2.774795005680335,2.5210503255413577,0.3529806499756975,0.2782681472248011,3.3852487317352042,1.0157552564721672,0.3348539309334353,3.4080600725071015,1.5289180244438936,2,0.9,0.8153069208061703,-0.8681183725186494,0.9399240129589757,,,,,,1,1,2,1642829
mocap_robot_static_3,-2.774806285939509,2.52102365065929,0.35299738565601985,0.2782681472248011,3.3852487317352042,1.0157552564721672,0.33485393093343535,3.4080600725071015,1.5289180244438936,2,0.8,0.8153069208061703,-0.8681183725186494,0.9399240129589757,0.7426714067386824,-0.8011817612887838,1.8936934391303193,0,1.0,0,1,2,1596283
mocap_robot_static_3,-2.7745349788807774,2.5209012556513395,0.35293422904447325,0.27143346783318467,3.3829134929321305,1.0151709662277584,0.32347283714629854,3.401165123911519,1.529496085686091,2,1.0,0.8214267740764296,-0.8553154889970154,0.9388399669171705,0.7450603894989092,-0.8048493824987286,1.8668755651653397,0,0.9,0,1,2,1239849
mocap_robot_static_3,-2.774799693418928,2.5210266390179226,0.35300966744513496,0.24987034670056346,3.3741358342641745,1.014043550928482,0.32306852145268633,3.4009201794469552,1.5295166214304108,2,0.9,0.8402396782886931,-0.8235919567704049,0.9390972794726903,0.7858824401590475,-0.8158611977805611,1.721101152071225,0,1.0,0,1,2,1649612
mocap_robot_static_3,-2.7747806903717382,2.521049704009795,0.3529346799917782,0.24424660900352677,3.371425691294579,1.0134751518231127,0.3085651832460223,3.393533652365311,1.5308133938432888,2,1.0,0.8498248441442806,-0.8094519862241364,0.9405827295513997,0.789581000947244,-0.8193404551966332,1.6928830288979066,0,0.9,0,1,2,1188304
mocap_robot_static_3,-2.774775135950518,2.5210382672829676,0.3529650561091093,0.22325520532366733,3.363018250706476,1.0118878110710718,0.3152105555212159,3.3970776080242935,1.5302830257648927,2,0.9,0.8710221884668199,-0.7806454095169414,0.9445400542131671,,,,,,1,1,2,1593489
