experiment,gt1_x,gt1_y,gt1_z,track1_x,track1_y,track1_z,track1_id,track1_conf,gt2_x,gt2_y,gt2_z,track2_x,track2_y,track2_z,track2_id,track2_conf,unmatched_trks
mocap_cam_1,2.0522744344837314,1.2129117101913616,1.010181951510971,,,,,,0.7751655256081753,-1.0136748738199104,0.9593402312015,0.4381372404807188,-0.952568816723347,0.870439669410923,0,0.9994469212732611,0
mocap_cam_1,2.069781275162747,1.2011608660742097,1.0078978541352184,1.5361216855369362,1.6462751196583725,1.40844034872055,1,0.982421875,0.7848882135190485,-1.0121419046947275,0.959024943233424,0.43831960978253587,-0.9526219959830385,0.8704615130612986,0,0.949446921273261,0
mocap_cam_1,2.0785599876507193,1.195416984162434,1.006509263427757,1.5407525573765006,1.6382542185056073,1.4084403487205497,1,0.9993651588447392,0.7894398300890973,-1.0112949337723365,0.9589521139841928,0.43847369858739793,-0.9526669285922423,0.8704799693582007,0,0.899446921273261,0
mocap_cam_1,2.0869744174977547,1.1896093720164052,1.0045536629263325,1.5531564318611646,1.6167700888212586,1.3944888823522552,1,0.9999733416311756,0.794172790072315,-1.0102099123679236,0.9588440474990029,0.4386278016221435,-0.9527118653509093,0.8704984273595162,0,0.8494469212732609,0
mocap_cam_1,2.0915185438043706,1.1863783890789337,1.0036633043599221,1.5530694650742605,1.6169207196366862,1.394579898195092,1,0.9499733416311755,0.7965948916322214,-1.0095989799654959,0.9587364642035743,0.46361813978234545,-0.9575040564058427,0.8748871438140186,0,0.9875149788725258,0
mocap_cam_1,2.108081949491203,1.173782265056318,0.99908111882736,1.5532164889473725,1.6166660669505,1.3944260290893709,1,0.8999733416311755,0.8066779774449838,-1.0075320458013246,0.9586349669282878,0.5129303855512487,-0.9548812359781134,0.8775847014440888,0,0.9981095285539587,0
mocap_cam_1,2.126141054877906,1.1597924193746847,0.9949988690174574,1.5532899763566124,1.616538783089943,1.394349120205785,1,0.8499733416311754,0.8161219037947243,-1.0056225979538134,0.9585559379275502,0.5443037088907188,-0.9538833210298369,0.8793023655622485,0,0.9997956599867875,0
mocap_cam_1,2.135526762554058,1.152682357454335,0.9929371609906144,1.582892462147396,1.5925244756584565,1.386298371031131,1,0.9906233338519485,0.8205654814681459,-1.004153369991049,0.9582281081304116,0.549502179214547,-0.953776854691895,0.8796292105778226,0,0.9497956599867875,0
mocap_cam_1,2.161062445139528,1.1353139155872056,0.9872457890515032,1.6152039546997077,1.5778198860021966,1.3821892681304284,1,0.9996932438320706,0.8318231419795507,-0.9985946029514655,0.9571507950755433,0.5538964119917413,-0.9536868593966045,0.8799054905200039,0,0.8997956599867875,0
mocap_cam_1,2.1885844114777067,1.1174907450888834,0.9821732324231465,1.6218241701950435,1.5737591604355627,1.380874397106433,1,0.9496932438320705,0.8460387958966531,-0.991701126621665,0.9568417052556791,0.6059936237779753,-0.9552338937198642,0.8780884633024058,0,0.9973102555692845,0
mocap_cam_1,2.1885844114777067,1.1174907450888834,0.9821732324231465,1.625464261235928,1.5715263916133084,1.3801514221160065,1,0.8996932438320705,0.8460387958966531,-0.991701126621665,0.9568417052556791,0.6454788717601414,-0.9594079237763065,0.8790288366051017,0,0.9999370456883863,0
mocap_cam_1,2.2122621133248597,1.1009433915521887,0.9807356642717632,1.6291038035426306,1.569293959375101,1.3794285561121644,1,0.8496932438320705,0.8609448148509043,-0.9854891487994808,0.956907438374564,0.6819985680698984,-0.9635505582237699,0.8818227111185575,0,0.9999985885087337,0
mocap_cam_1,2.2455642722510256,1.0822927712040817,0.9790571039042367,1.6644002794980701,1.5453349698932421,1.3796688981913743,1,0.9924442822733024,0.8841843288918926,-0.9789620471446586,0.9583441590369834,0.6847490032035685,-0.9637223736098971,0.8819007802355671,0,0.9499985885087336,0
mocap_cam_1,2.2601246867821914,1.0739814833053694,0.979507151189237,1.7051407612896101,1.530580449913787,1.3807721572845153,1,0.9998192235504842,0.8942820844771159,-0.9763723966090644,0.9597859393723646,0.6998984598246303,-0.9646687364988451,0.8823307866324104,0,0.8999985885087336,0
mocap_cam_1,2.2808327999233446,1.0604330548281375,0.9827671965529519,1.7404535010970956,1.5098115150742437,1.3776881496831832,1,0.9999945299045825,0.9096025386327959,-0.9728379322048674,0.9628821547274812,0.7150551629509947,-0.9656155520656586,0.8827609987160783,0,0.8499985885087336,0
mocap_cam_1,2.287307517976396,1.0556475756484422,0.9850427019797967,1.7516700587281149,1.503671045308268,1.3770432657335443,1,0.9499945299045824,0.9146241288224026,-0.9715925996408863,0.9640166593555899,0.7372760762117638,-0.9641823044343025,0.8825215115773961,0,0.9991214788739007,0
mocap_cam_1,2.3186184262855143,1.028310215833458,0.9980104150841769,1.765372800016075,1.4961695219926818,1.3762554413213355,1,0.8999945299045824,0.9438570758617912,-0.9639191907412296,0.9680926673213692,0.7638118350476808,-0.9636496412557382,0.8825059472356592,0,0.9999965682768511,0
mocap_cam_1,2.323706956915145,1.023876836822557,0.9992860358522643,1.779119371990294,1.4886440037035353,1.3754650969108349,1,0.8499945299045824,0.9485369072060097,-0.9628160556041866,0.9684048054999117,0.799341061503595,-0.9665755364865233,0.8870275979828829,0,0.9999999849191854,0
mocap_cam_1,2.3381983488464466,1.0108704250847376,1.0015242357413663,1.8235943915143418,1.4594768943736005,1.3822020095224852,1,0.9953145821972536,0.96192562166789,-0.9589062322871347,0.9689247017096382,0.8028523271048138,-0.9667233568669055,0.8871734118139887,0,0.9499999849191854,0
