exp_config,split,amota,bicycle_amota,bus_amota,car_amota,moto_amota,ped_amota,trailer_amota,truck_amota
greedy_dist10_cvcy_conf_padd_40_yc_results,mini_train,0.592,0.408,0.734,0.654,0.385,0.709,0.775,0.480
greedy_dist10_ack_conf_mult_15_noyc_results,mini_train,0.401,0.130,0.443,0.417,0.177,0.538,0.775,0.326
greedy_dist2_cvcy_conf_padd_30_yc_results,mini_train,0.515,0.345,0.575,0.520,0.199,0.738,0.775,0.454
hungarian_dist2_cvcy_conf_mult_20_noyc_results,mini_train,0.431,0.207,0.521,0.430,0.185,0.592,0.775,0.308
greedy_dist10_cvcy_obj_conf_padd_30_noyc_results,mini_train,0.590,0.409,0.732,0.640,0.373,0.693,0.775,0.511
hungarian_dist5_cvcy_obj_conf_padd_20_noyc_results,mini_train,0.525,0.458,0.647,0.482,0.244,0.643,0.775,0.426
greedy_dist5_cvcy_obj_conf_padd_40_yc_results,mini_train,0.578,0.471,0.690,0.610,0.297,0.709,0.775,0.495
greedy_dist2_cvcy_obj_conf_mult_30_noyc_results,mini_train,0.476,0.256,0.573,0.495,0.192,0.677,0.775,0.364
hungarian_dist10_ack_count_noyc_results,mini_train,0.351,0.000,0.439,0.092,0.145,0.587,0.809,0.383
greedy_dist10_cvcy_obj_conf_mult_30_noyc_results,mini_train,0.573,0.392,0.714,0.617,0.389,0.660,0.775,0.464
hungarian_dist5_ack_conf_padd_40_yc_results,mini_train,0.436,0.273,0.529,0.390,0.191,0.542,0.775,0.355
hungarian_dist5_cvcy_obj_conf_mult_40_noyc_results,mini_train,0.511,0.360,0.685,0.485,0.259,0.576,0.775,0.441
greedy_dist2_ack_conf_mult_15_yc_results,mini_train,0.436,0.325,0.516,0.480,0.191,0.436,0.775,0.326
hungarian_dist2_cvcy_conf_mult_10_noyc_results,mini_train,0.458,0.329,0.549,0.421,0.232,0.656,0.775,0.242
greedy_dist5_ack_conf_mult_15_yc_results,mini_train,0.467,0.303,0.538,0.476,0.264,0.562,0.775,0.351
hungarian_dist2_ack_conf_mult_05_yc_results,mini_train,0.381,0.346,0.386,0.352,0.261,0.383,0.775,0.160
greedy_dist5_ack_conf_padd_20_yc_results,mini_train,0.480,0.391,0.537,0.489,0.159,0.594,0.775,0.416
greedy_dist10_ack_conf_padd_40_yc_results,mini_train,0.418,0.162,0.435,0.378,0.185,0.588,0.775,0.403
hungarian_dist10_cvcy_conf_mult_15_noyc_results,mini_train,0.494,0.329,0.666,0.438,0.408,0.594,0.775,0.246
greedy_dist5_ack_conf_padd_30_noyc_results,mini_train,0.478,0.376,0.530,0.471,0.191,0.584,0.775,0.421
hungarian_dist2_ack_conf_padd_40_noyc_results,mini_train,0.420,0.280,0.500,0.400,0.173,0.441,0.775,0.374
greedy_dist2_cvcy_obj_conf_padd_05_noyc_results,mini_train,0.527,0.455,0.557,0.524,0.193,0.728,0.775,0.454
hungarian_dist5_cvcy_conf_padd_05_noyc_results,mini_train,0.536,0.511,0.645,0.477,0.296,0.672,0.775,0.375
hungarian_dist2_cvcy_obj_conf_mult_05_noyc_results,mini_train,0.447,0.268,0.511,0.408,0.308,0.634,0.775,0.222
greedy_dist5_cvcy_obj_conf_mult_40_noyc_results,mini_train,0.550,0.381,0.692,0.586,0.307,0.650,0.775,0.458
greedy_dist5_cvcy_conf_padd_05_noyc_results,mini_train,0.603,0.533,0.712,0.599,0.367,0.746,0.775,0.489
hungarian_dist5_cvcy_conf_padd_20_yc_results,mini_train,0.536,0.485,0.649,0.482,0.252,0.660,0.775,0.449
hungarian_dist10_ack_conf_mult_05_noyc_results,mini_train,0.354,0.190,0.388,0.287,0.137,0.504,0.775,0.199
greedy_dist5_cvcy_conf_mult_20_yc_results,mini_train,0.560,0.393,0.718,0.601,0.329,0.695,0.775,0.413
hungarian_dist10_cvcy_obj_conf_mult_05_yc_results,mini_train,0.514,0.393,0.699,0.456,0.438,0.588,0.779,0.247
greedy_dist10_cvcy_conf_mult_10_noyc_results,mini_train,0.586,0.377,0.761,0.635,0.478,0.708,0.775,0.368
hungarian_dist10_ack_conf_padd_15_yc_results,mini_train,0.375,0.277,0.417,0.271,0.145,0.587,0.775,0.154
greedy_dist5_ack_conf_mult_25_noyc_results,mini_train,0.448,0.247,0.537,0.456,0.208,0.534,0.775,0.381
greedy_dist2_cvcy_conf_padd_50_yc_results,mini_train,0.501,0.279,0.575,0.522,0.208,0.697,0.775,0.451
greedy_dist10_cvcy_obj_conf_padd_40_noyc_results,mini_train,0.591,0.412,0.731,0.639,0.375,0.693,0.775,0.512
greedy_dist5_ack_conf_padd_50_noyc_results,mini_train,0.470,0.328,0.529,0.470,0.214,0.555,0.775,0.418
hungarian_dist5_cvcy_conf_mult_05_yc_results,mini_train,0.545,0.444,0.642,0.463,0.442,0.633,0.775,0.415
greedy_dist2_cvcy_conf_mult_05_noyc_results,mini_train,0.489,0.159,0.578,0.506,0.297,0.708,0.775,0.400
hungarian_dist10_cvcy_conf_mult_05_noyc_results,mini_train,0.536,0.418,0.677,0.442,0.491,0.601,0.779,0.345
greedy_dist10_ack_conf_padd_40_noyc_results,mini_train,0.413,0.156,0.435,0.381,0.185,0.561,0.775,0.400
hungarian_dist2_ack_conf_mult_50_yc_results,mini_train,0.401,0.234,0.523,0.386,0.188,0.366,0.775,0.338
greedy_dist10_cvcy_conf_padd_05_yc_results,mini_train,0.606,0.426,0.755,0.646,0.439,0.722,0.775,0.479
hungarian_dist2_cvcy_conf_mult_15_noyc_results,mini_train,0.452,0.255,0.546,0.441,0.214,0.614,0.775,0.321
hungarian_dist10_cvcy_obj_conf_padd_10_noyc_results,mini_train,0.516,0.387,0.699,0.482,0.332,0.605,0.777,0.332
hungarian_dist5_cvcy_obj_conf_padd_10_noyc_results,mini_train,0.522,0.441,0.672,0.502,0.336,0.647,0.775,0.279
hungarian_dist2_cvcy_obj_conf_padd_40_noyc_results,mini_train,0.462,0.265,0.574,0.426,0.169,0.612,0.775,0.410
hungarian_dist5_cvcy_obj_conf_mult_50_yc_results,mini_train,0.504,0.343,0.660,0.466,0.263,0.569,0.775,0.454
hungarian_dist10_cvcy_conf_padd_25_noyc_results,mini_train,0.502,0.341,0.664,0.442,0.358,0.616,0.775,0.320
hungarian_dist2_cvcy_conf_mult_50_noyc_results,mini_train,0.446,0.196,0.572,0.433,0.183,0.525,0.775,0.439
hungarian_dist2_cvcy_conf_padd_25_noyc_results,mini_train,0.456,0.272,0.533,0.432,0.169,0.655,0.775,0.354
hungarian_dist5_cvcy_conf_mult_10_yc_results,mini_train,0.527,0.471,0.651,0.491,0.365,0.642,0.775,0.295
greedy_dist10_cvcy_obj_conf_padd_50_yc_results,mini_train,0.593,0.403,0.732,0.643,0.384,0.697,0.775,0.518
greedy_dist2_ack_conf_padd_15_yc_results,mini_train,0.476,0.473,0.510,0.501,0.199,0.476,0.775,0.399
greedy_dist5_ack_conf_padd_10_yc_results,mini_train,0.475,0.326,0.533,0.485,0.184,0.603,0.775,0.418
hungarian_dist5_cvcy_obj_conf_mult_10_noyc_results,mini_train,0.531,0.464,0.653,0.490,0.358,0.612,0.775,0.364
greedy_dist5_cvcy_obj_conf_padd_15_yc_results,mini_train,0.591,0.484,0.689,0.621,0.351,0.746,0.775,0.473
hungarian_dist10_ack_conf_mult_10_yc_results,mini_train,0.379,0.215,0.420,0.305,0.197,0.518,0.775,0.220
hungarian_dist5_cvcy_conf_mult_25_noyc_results,mini_train,0.514,0.388,0.682,0.474,0.246,0.590,0.775,0.446
greedy_dist10_ack_conf_padd_15_yc_results,mini_train,0.418,0.141,0.444,0.412,0.153,0.617,0.775,0.387
hungarian_dist5_ack_conf_padd_25_noyc_results,mini_train,0.440,0.337,0.530,0.367,0.187,0.566,0.775,0.320
hungarian_dist10_cvcy_conf_mult_20_yc_results,mini_train,0.482,0.314,0.642,0.429,0.336,0.575,0.775,0.300
hungarian_dist10_cvcy_obj_conf_mult_10_yc_results,mini_train,0.510,0.381,0.667,0.458,0.342,0.576,0.775,0.375
greedy_dist10_ack_conf_mult_40_noyc_results,mini_train,0.380,0.119,0.405,0.368,0.144,0.508,0.775,0.343
hungarian_dist2_cvcy_obj_conf_mult_15_noyc_results,mini_train,0.462,0.277,0.565,0.442,0.214,0.593,0.775,0.365
greedy_dist2_ack_conf_padd_10_yc_results,mini_train,0.472,0.436,0.500,0.503,0.214,0.483,0.775,0.393
hungarian_dist2_cvcy_conf_mult_40_yc_results,mini_train,0.442,0.190,0.572,0.407,0.183,0.549,0.775,0.420
hungarian_dist5_cvcy_obj_conf_padd_05_noyc_results,mini_train,0.537,0.507,0.674,0.496,0.287,0.675,0.775,0.342
hungarian_dist10_cvcy_obj_conf_padd_50_yc_results,mini_train,0.502,0.401,0.678,0.459,0.326,0.587,0.775,0.285
hungarian_dist10_ack_conf_padd_05_yc_results,mini_train,0.393,0.273,0.457,0.273,0.176,0.542,0.775,0.257
greedy_dist10_cvcy_conf_padd_25_yc_results,mini_train,0.592,0.386,0.759,0.660,0.385,0.723,0.775,0.454
hungarian_dist2_cvcy_conf_mult_40_noyc_results,mini_train,0.442,0.190,0.572,0.407,0.183,0.549,0.775,0.420
hungarian_dist5_ack_conf_mult_15_yc_results,mini_train,0.413,0.254,0.534,0.343,0.247,0.509,0.775,0.229
hungarian_dist2_ack_conf_mult_20_noyc_results,mini_train,0.383,0.243,0.480,0.418,0.172,0.372,0.775,0.224
greedy_dist5_cvcy_obj_conf_padd_50_noyc_results,mini_train,0.577,0.461,0.690,0.609,0.298,0.711,0.775,0.497
hungarian_dist5_cvcy_conf_padd_15_noyc_results,mini_train,0.536,0.451,0.651,0.501,0.244,0.671,0.775,0.457
greedy_dist10_ack_conf_mult_05_noyc_results,mini_train,0.395,0.136,0.445,0.391,0.123,0.536,0.775,0.362
greedy_dist5_cvcy_conf_mult_30_yc_results,mini_train,0.565,0.407,0.718,0.604,0.306,0.674,0.775,0.473
hungarian_dist2_ack_conf_mult_15_yc_results,mini_train,0.376,0.322,0.482,0.406,0.176,0.403,0.775,0.071
greedy_dist10_cvcy_obj_conf_mult_20_yc_results,mini_train,0.567,0.382,0.714,0.652,0.390,0.664,0.775,0.393
hungarian_dist2_ack_conf_mult_50_noyc_results,mini_train,0.399,0.234,0.523,0.387,0.188,0.347,0.775,0.337
greedy_dist2_cvcy_conf_padd_20_noyc_results,mini_train,0.520,0.352,0.593,0.534,0.201,0.733,0.775,0.450
greedy_dist10_cvcy_obj_conf_mult_40_noyc_results,mini_train,0.564,0.360,0.714,0.616,0.388,0.641,0.775,0.452
hungarian_dist10_ack_conf_padd_10_yc_results,mini_train,0.402,0.269,0.465,0.283,0.170,0.575,0.777,0.276
hungarian_dist10_cvcy_conf_mult_10_yc_results,mini_train,0.504,0.364,0.663,0.449,0.407,0.606,0.775,0.266
greedy_dist5_cvcy_obj_conf_mult_50_yc_results,mini_train,0.549,0.379,0.692,0.587,0.305,0.651,0.775,0.455
greedy_dist5_cvcy_obj_conf_mult_40_yc_results,mini_train,0.550,0.381,0.692,0.586,0.307,0.648,0.775,0.459
greedy_dist5_ack_conf_mult_10_noyc_results,mini_train,0.468,0.348,0.536,0.475,0.261,0.550,0.775,0.333
greedy_dist2_cvcy_obj_conf_padd_50_noyc_results,mini_train,0.501,0.279,0.573,0.522,0.208,0.696,0.775,0.453
greedy_dist5_cvcy_conf_padd_15_noyc_results,mini_train,0.595,0.482,0.714,0.616,0.351,0.746,0.775,0.479
hungarian_dist2_cvcy_obj_conf_padd_15_yc_results,mini_train,0.457,0.256,0.541,0.464,0.185,0.662,0.775,0.318
hungarian_dist2_cvcy_obj_conf_padd_20_noyc_results,mini_train,0.462,0.307,0.565,0.445,0.164,0.641,0.775,0.336
greedy_dist5_ack_conf_padd_05_noyc_results,mini_train,0.482,0.423,0.529,0.465,0.184,0.572,0.775,0.425
hungarian_dist2_cvcy_conf_mult_15_yc_results,mini_train,0.452,0.255,0.546,0.441,0.214,0.614,0.775,0.321
hungarian_dist10_ack_conf_mult_20_yc_results,mini_train,0.355,0.139,0.433,0.269,0.178,0.536,0.775,0.153
greedy_dist5_cvcy_obj_count_yc_results,mini_train,0.561,0.231,0.708,0.473,0.346,0.806,0.770,0.594
greedy_dist5_ack_count_noyc_results,mini_train,0.386,0.000,0.500,0.187,0.181,0.655,0.758,0.419
hungarian_dist10_cvcy_conf_padd_40_noyc_results,mini_train,0.494,0.391,0.653,0.464,0.336,0.583,0.775,0.254
greedy_dist5_ack_conf_padd_15_yc_results,mini_train,0.477,0.371,0.535,0.483,0.155,0.609,0.775,0.414
hungarian_dist5_cvcy_conf_padd_25_yc_results,mini_train,0.525,0.453,0.650,0.492,0.231,0.640,0.775,0.433
hungarian_dist2_cvcy_obj_conf_padd_50_yc_results,mini_train,0.460,0.244,0.574,0.434,0.182,0.601,0.775,0.411
hungarian_dist2_cvcy_conf_padd_20_noyc_results,mini_train,0.454,0.275,0.525,0.431,0.164,0.674,0.775,0.333
hungarian_dist2_cvcy_obj_conf_padd_05_yc_results,mini_train,0.472,0.335,0.509,0.419,0.193,0.689,0.775,0.384
greedy_dist10_cvcy_obj_count_yc_results,mini_train,0.599,0.258,0.725,0.619,0.445,0.771,0.768,0.606
greedy_dist10_cvcy_conf_mult_15_noyc_results,mini_train,0.579,0.388,0.739,0.645,0.445,0.689,0.775,0.374
hungarian_dist5_cvcy_conf_padd_20_noyc_results,mini_train,0.536,0.485,0.649,0.482,0.252,0.660,0.775,0.449
greedy_dist10_ack_conf_mult_25_noyc_results,mini_train,0.391,0.126,0.405,0.370,0.170,0.544,0.775,0.345
greedy_dist2_ack_conf_padd_15_noyc_results,mini_train,0.475,0.473,0.510,0.501,0.199,0.467,0.775,0.399
greedy_dist10_cvcy_conf_mult_40_yc_results,mini_train,0.569,0.362,0.739,0.629,0.389,0.650,0.775,0.443
hungarian_dist5_ack_conf_mult_50_noyc_results,mini_train,0.421,0.245,0.529,0.364,0.194,0.471,0.775,0.372
hungarian_dist2_cvcy_obj_conf_padd_50_noyc_results,mini_train,0.464,0.274,0.574,0.431,0.182,0.599,0.775,0.411
greedy_dist2_cvcy_conf_mult_25_noyc_results,mini_train,0.480,0.207,0.575,0.514,0.192,0.701,0.775,0.397
hungarian_dist5_cvcy_conf_padd_10_yc_results,mini_train,0.521,0.387,0.648,0.479,0.345,0.661,0.775,0.352
greedy_dist5_ack_conf_mult_10_yc_results,mini_train,0.472,0.348,0.536,0.474,0.261,0.578,0.775,0.331
greedy_dist5_cvcy_obj_conf_padd_30_yc_results,mini_train,0.589,0.509,0.690,0.627,0.301,0.728,0.775,0.494
greedy_dist5_cvcy_obj_conf_mult_20_yc_results,mini_train,0.555,0.403,0.692,0.604,0.329,0.692,0.775,0.388
hungarian_dist2_cvcy_obj_conf_mult_10_noyc_results,mini_train,0.461,0.339,0.555,0.437,0.232,0.628,0.775,0.262
hungarian_dist5_ack_conf_mult_25_noyc_results,mini_train,0.427,0.291,0.557,0.362,0.202,0.492,0.775,0.311
greedy_dist10_cvcy_conf_padd_20_noyc_results,mini_train,0.590,0.394,0.755,0.662,0.389,0.720,0.775,0.435
greedy_dist5_cvcy_conf_mult_10_yc_results,mini_train,0.589,0.457,0.718,0.608,0.457,0.707,0.775,0.402
hungarian_dist5_cvcy_conf_mult_30_yc_results,mini_train,0.515,0.388,0.682,0.478,0.265,0.563,0.775,0.452
hungarian_dist10_cvcy_obj_conf_padd_20_yc_results,mini_train,0.496,0.426,0.664,0.466,0.318,0.606,0.775,0.216
hungarian_dist2_cvcy_obj_conf_padd_30_noyc_results,mini_train,0.469,0.309,0.574,0.439,0.169,0.635,0.775,0.379
hungarian_dist10_cvcy_obj_conf_padd_50_noyc_results,mini_train,0.518,0.369,0.674,0.472,0.321,0.575,0.775,0.441
hungarian_dist2_cvcy_conf_mult_25_yc_results,mini_train,0.446,0.247,0.572,0.421,0.184,0.574,0.775,0.348
hungarian_dist10_ack_conf_padd_50_yc_results,mini_train,0.379,0.208,0.463,0.256,0.167,0.490,0.775,0.293
hungarian_dist2_cvcy_obj_conf_mult_40_noyc_results,mini_train,0.446,0.210,0.575,0.428,0.183,0.532,0.775,0.422
hungarian_dist2_ack_conf_padd_05_noyc_results,mini_train,0.395,0.330,0.429,0.345,0.193,0.423,0.775,0.271
greedy_dist5_cvcy_obj_conf_padd_25_yc_results,mini_train,0.590,0.501,0.690,0.627,0.314,0.730,0.775,0.493
hungarian_dist5_ack_conf_mult_30_yc_results,mini_train,0.432,0.296,0.556,0.357,0.206,0.488,0.775,0.347
hungarian_dist5_cvcy_obj_conf_mult_05_noyc_results,mini_train,0.534,0.418,0.673,0.475,0.433,0.605,0.775,0.357
greedy_dist5_cvcy_count_yc_results,mini_train,0.572,0.231,0.734,0.470,0.347,0.814,0.768,0.640
hungarian_dist10_cvcy_obj_conf_mult_10_noyc_results,mini_train,0.518,0.363,0.663,0.470,0.479,0.573,0.775,0.302
greedy_dist10_cvcy_conf_mult_15_yc_results,mini_train,0.579,0.388,0.739,0.645,0.445,0.689,0.775,0.374
greedy_dist2_ack_conf_mult_10_noyc_results,mini_train,0.450,0.367,0.507,0.485,0.272,0.434,0.775,0.309
hungarian_dist10_ack_conf_padd_30_yc_results,mini_train,0.379,0.201,0.466,0.243,0.185,0.532,0.775,0.247
hungarian_dist5_cvcy_conf_mult_05_noyc_results,mini_train,0.545,0.444,0.642,0.463,0.442,0.633,0.775,0.415
greedy_dist5_ack_conf_padd_40_yc_results,mini_train,0.473,0.337,0.529,0.472,0.194,0.586,0.775,0.418
greedy_dist10_cvcy_obj_conf_mult_15_noyc_results,mini_train,0.583,0.388,0.736,0.642,0.443,0.674,0.775,0.420
hungarian_dist10_cvcy_conf_padd_20_yc_results,mini_train,0.494,0.385,0.658,0.445,0.323,0.603,0.775,0.271
hungarian_dist5_cvcy_obj_conf_mult_30_noyc_results,mini_train,0.517,0.388,0.659,0.480,0.260,0.568,0.775,0.492
greedy_dist2_ack_conf_padd_30_noyc_results,mini_train,0.462,0.377,0.522,0.490,0.196,0.473,0.775,0.404
hungarian_dist2_ack_conf_padd_15_yc_results,mini_train,0.388,0.301,0.480,0.412,0.174,0.451,0.775,0.125
greedy_dist2_ack_count_noyc_results,mini_train,0.390,0.092,0.435,0.153,0.192,0.628,0.750,0.476
greedy_dist5_ack_conf_mult_50_yc_results,mini_train,0.445,0.235,0.529,0.455,0.208,0.539,0.775,0.375
hungarian_dist5_cvcy_conf_padd_05_yc_results,mini_train,0.536,0.511,0.645,0.477,0.296,0.672,0.775,0.375
greedy_dist2_ack_conf_mult_05_yc_results,mini_train,0.431,0.288,0.472,0.472,0.272,0.404,0.775,0.336
hungarian_dist2_ack_conf_padd_50_noyc_results,mini_train,0.422,0.305,0.500,0.406,0.185,0.419,0.775,0.362
greedy_dist10_cvcy_obj_conf_padd_30_yc_results,mini_train,0.592,0.396,0.732,0.660,0.385,0.715,0.775,0.482
hungarian_dist2_cvcy_obj_conf_mult_30_yc_results,mini_train,0.447,0.221,0.575,0.427,0.184,0.572,0.775,0.379
hungarian_dist10_ack_conf_mult_50_noyc_results,mini_train,0.348,0.094,0.453,0.232,0.100,0.451,0.775,0.333
greedy_dist2_cvcy_conf_padd_10_noyc_results,mini_train,0.522,0.352,0.584,0.538,0.217,0.749,0.775,0.440
hungarian_dist5_cvcy_obj_conf_mult_15_yc_results,mini_train,0.509,0.405,0.658,0.487,0.280,0.590,0.775,0.369
hungarian_dist5_cvcy_conf_padd_10_noyc_results,mini_train,0.521,0.387,0.648,0.479,0.345,0.661,0.775,0.352
greedy_dist5_cvcy_conf_padd_20_yc_results,mini_train,0.585,0.433,0.714,0.622,0.326,0.746,0.775,0.482
greedy_dist2_ack_conf_padd_50_noyc_results,mini_train,0.450,0.297,0.522,0.493,0.208,0.459,0.775,0.395
greedy_dist5_cvcy_obj_conf_padd_20_noyc_results,mini_train,0.583,0.479,0.689,0.622,0.309,0.720,0.775,0.487
hungarian_dist5_ack_conf_mult_20_noyc_results,mini_train,0.419,0.308,0.534,0.356,0.167,0.536,0.775,0.259
hungarian_dist2_cvcy_conf_padd_15_noyc_results,mini_train,0.458,0.256,0.535,0.467,0.185,0.668,0.775,0.322
hungarian_dist10_cvcy_obj_conf_mult_30_noyc_results,mini_train,0.503,0.352,0.654,0.427,0.342,0.550,0.775,0.424
hungarian_dist10_cvcy_obj_conf_padd_30_noyc_results,mini_train,0.500,0.350,0.650,0.457,0.330,0.588,0.775,0.353
greedy_dist10_ack_conf_mult_10_noyc_results,mini_train,0.402,0.146,0.444,0.411,0.165,0.547,0.775,0.323
greedy_dist2_cvcy_conf_padd_30_noyc_results,mini_train,0.515,0.345,0.575,0.520,0.199,0.738,0.775,0.454
hungarian_dist10_cvcy_conf_padd_10_yc_results,mini_train,0.518,0.454,0.694,0.444,0.396,0.621,0.777,0.240
hungarian_dist5_cvcy_conf_mult_30_noyc_results,mini_train,0.515,0.388,0.682,0.478,0.265,0.563,0.775,0.452
greedy_dist10_cvcy_conf_mult_25_yc_results,mini_train,0.568,0.361,0.741,0.624,0.389,0.670,0.775,0.415
greedy_dist10_cvcy_conf_mult_50_yc_results,mini_train,0.565,0.362,0.714,0.625,0.387,0.653,0.775,0.440
hungarian_dist10_ack_conf_mult_05_yc_results,mini_train,0.358,0.176,0.469,0.240,0.137,0.510,0.775,0.202
hungarian_dist5_cvcy_obj_count_yc_results,mini_train,0.508,0.211,0.654,0.359,0.286,0.736,0.733,0.580
greedy_dist2_cvcy_conf_mult_15_noyc_results,mini_train,0.503,0.300,0.594,0.513,0.247,0.721,0.775,0.373
greedy_dist10_cvcy_conf_padd_10_yc_results,mini_train,0.593,0.408,0.757,0.649,0.393,0.732,0.775,0.435
hungarian_dist5_cvcy_obj_conf_padd_25_noyc_results,mini_train,0.522,0.422,0.650,0.478,0.217,0.645,0.775,0.467
greedy_dist2_cvcy_conf_padd_15_noyc_results,mini_train,0.528,0.388,0.590,0.533,0.210,0.754,0.775,0.445
greedy_dist10_cvcy_obj_conf_mult_40_yc_results,mini_train,0.567,0.362,0.714,0.627,0.389,0.648,0.775,0.454
greedy_dist10_ack_conf_padd_20_noyc_results,mini_train,0.417,0.176,0.447,0.418,0.153,0.584,0.775,0.366
greedy_dist5_cvcy_conf_mult_30_noyc_results,mini_train,0.565,0.407,0.718,0.604,0.306,0.674,0.775,0.473
greedy_dist2_cvcy_conf_mult_10_noyc_results,mini_train,0.514,0.342,0.587,0.519,0.297,0.717,0.775,0.360
hungarian_dist2_cvcy_conf_padd_10_yc_results,mini_train,0.456,0.228,0.522,0.434,0.221,0.692,0.775,0.323
greedy_dist2_ack_conf_mult_05_noyc_results,mini_train,0.432,0.288,0.478,0.472,0.272,0.402,0.775,0.336
greedy_dist2_cvcy_obj_conf_mult_25_yc_results,mini_train,0.477,0.207,0.575,0.514,0.192,0.677,0.775,0.400
hungarian_dist10_cvcy_obj_conf_padd_05_yc_results,mini_train,0.558,0.605,0.714,0.471,0.408,0.602,0.777,0.330
hungarian_dist5_ack_conf_padd_10_noyc_results,mini_train,0.430,0.367,0.474,0.371,0.177,0.593,0.775,0.250
hungarian_dist10_cvcy_conf_mult_50_yc_results,mini_train,0.489,0.344,0.630,0.437,0.341,0.535,0.775,0.364
hungarian_dist5_ack_conf_padd_30_noyc_results,mini_train,0.448,0.351,0.530,0.368,0.187,0.547,0.775,0.377
hungarian_dist5_cvcy_obj_conf_padd_25_yc_results,mini_train,0.521,0.457,0.650,0.494,0.225,0.633,0.775,0.413
hungarian_dist2_cvcy_conf_padd_50_noyc_results,mini_train,0.457,0.250,0.571,0.431,0.182,0.581,0.775,0.410
greedy_dist10_ack_conf_padd_30_yc_results,mini_train,0.418,0.147,0.435,0.380,0.185,0.601,0.775,0.403
hungarian_dist10_cvcy_conf_mult_05_yc_results,mini_train,0.536,0.418,0.677,0.442,0.491,0.601,0.779,0.345
greedy_dist2_ack_conf_padd_25_noyc_results,mini_train,0.465,0.374,0.522,0.506,0.196,0.475,0.775,0.404
greedy_dist2_cvcy_obj_conf_padd_15_noyc_results,mini_train,0.524,0.397,0.569,0.535,0.210,0.731,0.775,0.453
greedy_dist10_cvcy_conf_padd_30_noyc_results,mini_train,0.597,0.404,0.759,0.650,0.385,0.724,0.775,0.480
greedy_dist5_cvcy_conf_mult_40_noyc_results,mini_train,0.552,0.381,0.694,0.586,0.307,0.652,0.775,0.470
greedy_dist10_cvcy_obj_conf_mult_05_noyc_results,mini_train,0.579,0.253,0.735,0.627,0.529,0.693,0.775,0.443
hungarian_dist2_cvcy_conf_mult_25_noyc_results,mini_train,0.446,0.247,0.572,0.421,0.184,0.574,0.775,0.348
greedy_dist2_cvcy_conf_mult_05_yc_results,mini_train,0.489,0.159,0.578,0.506,0.297,0.708,0.775,0.400
hungarian_dist5_ack_conf_mult_20_yc_results,mini_train,0.418,0.318,0.534,0.358,0.160,0.525,0.775,0.259
hungarian_dist10_cvcy_obj_conf_padd_40_yc_results,mini_train,0.499,0.400,0.678,0.460,0.332,0.604,0.775,0.247
hungarian_dist10_ack_conf_mult_20_noyc_results,mini_train,0.351,0.139,0.433,0.272,0.160,0.525,0.775,0.150
greedy_dist10_cvcy_obj_conf_padd_10_noyc_results,mini_train,0.605,0.434,0.752,0.651,0.399,0.724,0.775,0.499
hungarian_dist5_cvcy_conf_padd_30_noyc_results,mini_train,0.530,0.474,0.684,0.492,0.232,0.647,0.775,0.407
greedy_dist2_cvcy_conf_padd_40_noyc_results,mini_train,0.504,0.285,0.575,0.522,0.197,0.720,0.775,0.451
greedy_dist2_cvcy_count_yc_results,mini_train,0.447,0.092,0.513,0.210,0.208,0.814,0.767,0.524
hungarian_dist2_cvcy_conf_mult_20_yc_results,mini_train,0.431,0.207,0.521,0.430,0.185,0.592,0.775,0.308
greedy_dist2_cvcy_obj_conf_padd_15_yc_results,mini_train,0.525,0.407,0.569,0.534,0.210,0.732,0.775,0.449
greedy_dist5_cvcy_obj_conf_padd_25_noyc_results,mini_train,0.586,0.492,0.690,0.623,0.297,0.726,0.775,0.500
greedy_dist5_cvcy_obj_count_noyc_results,mini_train,0.563,0.231,0.708,0.467,0.357,0.803,0.767,0.610
greedy_dist10_cvcy_obj_conf_padd_10_yc_results,mini_train,0.581,0.396,0.730,0.646,0.401,0.705,0.775,0.416
hungarian_dist10_ack_conf_padd_50_noyc_results,mini_train,0.378,0.215,0.463,0.276,0.146,0.495,0.775,0.276
hungarian_dist5_ack_conf_mult_40_noyc_results,mini_train,0.422,0.253,0.529,0.353,0.202,0.482,0.775,0.359
greedy_dist5_ack_conf_mult_20_noyc_results,mini_train,0.447,0.241,0.538,0.474,0.206,0.554,0.775,0.342
hungarian_dist10_cvcy_conf_mult_10_noyc_results,mini_train,0.504,0.364,0.663,0.449,0.407,0.606,0.775,0.266
greedy_dist5_ack_conf_padd_50_yc_results,mini_train,0.475,0.328,0.529,0.471,0.214,0.591,0.775,0.418
hungarian_dist10_cvcy_conf_padd_15_yc_results,mini_train,0.489,0.388,0.661,0.466,0.321,0.620,0.775,0.193
hungarian_dist5_ack_conf_mult_05_noyc_results,mini_train,0.392,0.263,0.474,0.348,0.211,0.515,0.775,0.162
hungarian_dist2_ack_conf_mult_20_yc_results,mini_train,0.387,0.243,0.480,0.421,0.172,0.393,0.775,0.224
hungarian_dist2_cvcy_conf_mult_30_noyc_results,mini_train,0.448,0.233,0.572,0.426,0.184,0.567,0.775,0.376
hungarian_dist5_cvcy_obj_conf_padd_40_yc_results,mini_train,0.509,0.419,0.685,0.477,0.241,0.589,0.775,0.376
greedy_dist5_ack_conf_padd_40_noyc_results,mini_train,0.471,0.337,0.529,0.472,0.194,0.571,0.775,0.418
