config,n_dets,n_trks,time_ns
greedy_dist2_cvcy_count_yc,124,155,51800705
greedy_dist2_cvcy_count_yc,128,152,50476224
greedy_dist2_cvcy_count_yc,147,159,53067701
greedy_dist2_cvcy_count_yc,132,165,53267044
greedy_dist2_cvcy_count_yc,134,166,52268041
greedy_dist2_cvcy_count_yc,113,157,41081987
greedy_dist2_cvcy_count_yc,93,125,30193894
greedy_dist2_cvcy_count_yc,118,111,31435839
greedy_dist2_cvcy_count_yc,151,158,39706161
greedy_dist2_cvcy_count_yc,136,163,49656645
greedy_dist2_cvcy_count_yc,131,156,50439680
greedy_dist2_cvcy_count_yc,123,151,48294668
greedy_dist2_cvcy_count_yc,122,148,47066251
greedy_dist2_cvcy_count_yc,124,148,46741272
greedy_dist2_cvcy_count_yc,58,38,6735664
greedy_dist2_cvcy_count_yc,56,62,9632287
greedy_dist2_cvcy_count_yc,68,72,13535568
greedy_dist2_cvcy_count_yc,57,78,13860536
greedy_dist2_cvcy_count_yc,66,81,16326989
greedy_dist2_cvcy_count_yc,68,86,16332599
greedy_dist2_cvcy_count_yc,55,79,15289989
greedy_dist2_cvcy_count_yc,51,70,13779822
greedy_dist2_cvcy_count_yc,62,73,13371286
greedy_dist2_cvcy_count_yc,57,76,13081629
greedy_dist2_cvcy_count_yc,77,88,16246946
greedy_dist2_cvcy_count_yc,66,89,15498482
greedy_dist2_cvcy_count_yc,61,77,14801229
greedy_dist2_cvcy_count_yc,62,75,14674182
greedy_dist2_cvcy_count_yc,63,76,14068798
greedy_dist2_cvcy_count_yc,54,74,12560795
greedy_dist2_cvcy_count_yc,69,82,17144763
greedy_dist2_cvcy_count_yc,58,90,15316422
greedy_dist2_cvcy_count_yc,54,78,15210218
greedy_dist2_cvcy_count_yc,48,67,78073643
greedy_dist2_cvcy_count_yc,53,61,11147023
greedy_dist2_cvcy_count_yc,52,65,11820707
greedy_dist2_cvcy_count_yc,50,70,12662381
greedy_dist2_cvcy_count_yc,54,65,12908368
greedy_dist2_cvcy_count_yc,44,62,10809892
greedy_dist2_cvcy_count_yc,50,59,12338495
greedy_dist2_cvcy_count_yc,43,61,10360822
greedy_dist2_cvcy_count_yc,45,55,10652262
greedy_dist2_cvcy_count_yc,43,57,9720846
greedy_dist2_cvcy_count_yc,41,52,9057012
greedy_dist2_cvcy_count_yc,35,45,8356756
greedy_dist2_cvcy_count_yc,53,61,10606910
greedy_dist2_cvcy_count_yc,37,58,9381299
greedy_dist2_cvcy_count_yc,45,48,9675053
greedy_dist2_cvcy_count_yc,44,45,8798660
greedy_dist2_cvcy_count_yc,38,45,8199036
greedy_dist2_cvcy_count_yc,47,45,8535357
greedy_dist2_cvcy_count_yc,41,49,7955774
greedy_dist2_cvcy_count_yc,52,47,9550592
greedy_dist2_cvcy_count_yc,42,49,8722745
greedy_dist2_cvcy_count_yc,46,53,9883125
greedy_dist2_cvcy_count_yc,42,34,5318865
greedy_dist2_cvcy_count_yc,52,70,13402155
greedy_dist2_cvcy_count_yc,44,70,16910545
greedy_dist2_cvcy_count_yc,33,55,15064860
greedy_dist2_cvcy_count_yc,37,54,14740062
greedy_dist2_cvcy_count_yc,38,60,9880828
greedy_dist2_cvcy_count_yc,44,62,10501364
greedy_dist2_cvcy_count_yc,48,60,10514871
greedy_dist2_cvcy_count_yc,40,63,9641834
greedy_dist2_cvcy_count_yc,46,63,11111889
greedy_dist2_cvcy_count_yc,35,57,8872066
greedy_dist2_cvcy_count_yc,35,54,10134883
greedy_dist2_cvcy_count_yc,38,60,10378825
greedy_dist2_cvcy_count_yc,42,60,11044122
greedy_dist2_cvcy_count_yc,28,56,9050356
greedy_dist2_cvcy_count_yc,34,48,9041830
greedy_dist2_cvcy_count_yc,25,41,6953363
greedy_dist2_cvcy_count_yc,29,42,6778439
greedy_dist2_cvcy_count_yc,25,40,5923880
greedy_dist2_cvcy_count_yc,35,43,7648680
greedy_dist2_cvcy_count_yc,40,55,8434621
greedy_dist2_cvcy_count_yc,34,56,8901465
greedy_dist2_cvcy_count_yc,28,52,8267473
greedy_dist2_cvcy_count_yc,27,40,7008114
greedy_dist2_cvcy_count_yc,24,38,6587483
greedy_dist2_cvcy_count_yc,31,38,6953002
greedy_dist2_cvcy_count_yc,31,38,6779351
greedy_dist2_cvcy_count_yc,31,37,6840264
greedy_dist2_cvcy_count_yc,31,43,7296968
greedy_dist2_cvcy_count_yc,41,54,8893790
greedy_dist2_cvcy_count_yc,40,65,9797720
greedy_dist2_cvcy_count_yc,54,72,12536432
greedy_dist2_cvcy_count_yc,50,76,12565181
greedy_dist2_cvcy_count_yc,39,67,11586800
greedy_dist2_cvcy_count_yc,33,55,8998161
greedy_dist2_cvcy_count_yc,32,50,7802632
greedy_dist2_cvcy_count_yc,28,42,6655601
greedy_dist2_cvcy_count_yc,36,50,7383474
greedy_dist2_cvcy_count_yc,33,54,7558297
greedy_dist2_cvcy_count_yc,24,44,6964936
greedy_dist2_cvcy_count_yc,61,49,11110006
greedy_dist2_cvcy_count_yc,48,85,22825086
greedy_dist2_cvcy_count_yc,50,82,28866643
greedy_dist2_cvcy_count_yc,41,78,21346808
greedy_dist2_cvcy_count_yc,59,80,24206536
greedy_dist2_cvcy_count_yc,49,85,21643729
greedy_dist2_cvcy_count_yc,59,85,16667679
greedy_dist2_cvcy_count_yc,47,82,13326348
greedy_dist2_cvcy_count_yc,64,84,16825709
greedy_dist2_cvcy_count_yc,57,97,15798661
greedy_dist2_cvcy_count_yc,46,85,14621829
greedy_dist2_cvcy_count_yc,40,70,12185058
greedy_dist2_cvcy_count_yc,35,61,10607747
greedy_dist2_cvcy_count_yc,40,65,10544479
greedy_dist2_cvcy_count_yc,48,66,11791531
greedy_dist2_cvcy_count_yc,46,65,11877104
greedy_dist2_cvcy_count_yc,39,64,10472873
greedy_dist2_cvcy_count_yc,48,61,11327483
greedy_dist2_cvcy_count_yc,46,64,10537875
greedy_dist2_cvcy_count_yc,36,55,9663725
greedy_dist2_cvcy_count_yc,40,51,8557437
greedy_dist2_cvcy_count_yc,52,55,9358849
greedy_dist2_cvcy_count_yc,47,64,10254491
greedy_dist2_cvcy_count_yc,37,64,9779942
greedy_dist2_cvcy_count_yc,32,54,9319279
greedy_dist2_cvcy_count_yc,38,56,9820493
greedy_dist2_cvcy_count_yc,26,50,7836999
greedy_dist2_cvcy_count_yc,28,44,7974799
greedy_dist2_cvcy_count_yc,32,49,7974608
greedy_dist2_cvcy_count_yc,47,55,9445223
greedy_dist2_cvcy_count_yc,58,59,10360586
greedy_dist2_cvcy_count_yc,56,56,10361719
greedy_dist2_cvcy_count_yc,55,41,8737792
greedy_dist2_cvcy_count_yc,83,40,8797353
greedy_dist2_cvcy_count_yc,51,42,7193758
greedy_dist2_cvcy_count_yc,78,39,8144731
greedy_dist2_cvcy_count_yc,64,41,7940498
greedy_dist2_cvcy_count_yc,67,45,8049951
greedy_dist2_cvcy_count_yc,50,43,7528626
greedy_dist2_cvcy_count_yc,51,45,8053537
greedy_dist2_cvcy_count_yc,43,52,8313182
greedy_dist2_cvcy_count_yc,127,120,16491874
greedy_dist2_cvcy_count_yc,113,165,35912193
greedy_dist2_cvcy_count_yc,115,152,44048459
greedy_dist2_cvcy_count_yc,121,155,43376007
greedy_dist2_cvcy_count_yc,129,162,48358980
greedy_dist2_cvcy_count_yc,144,186,54480014
greedy_dist2_cvcy_count_yc,141,195,59553029
greedy_dist2_cvcy_count_yc,139,196,59715317
greedy_dist2_cvcy_count_yc,132,180,58647237
greedy_dist2_cvcy_count_yc,147,185,59435312
greedy_dist2_cvcy_count_yc,139,189,58254342
greedy_dist2_cvcy_count_yc,134,181,60653607
greedy_dist2_cvcy_count_yc,126,175,56508560
greedy_dist2_cvcy_count_yc,135,175,59500223
greedy_dist2_cvcy_count_yc,119,169,54416646
greedy_dist2_cvcy_count_yc,129,167,55345211
greedy_dist2_cvcy_count_yc,129,177,54466623
greedy_dist2_cvcy_count_yc,144,193,61141097
greedy_dist2_cvcy_count_yc,132,176,58762755
greedy_dist2_cvcy_count_yc,151,183,58821103
greedy_dist2_cvcy_count_yc,125,196,53418854
greedy_dist2_cvcy_count_yc,115,174,50077303
greedy_dist2_cvcy_count_yc,103,157,40638157
greedy_dist2_cvcy_count_yc,79,141,31874015
greedy_dist2_cvcy_count_yc,93,132,33143785
greedy_dist2_cvcy_count_yc,130,159,41163691
greedy_dist2_cvcy_count_yc,111,179,42712564
greedy_dist2_cvcy_count_yc,107,158,43975386
greedy_dist2_cvcy_count_yc,110,159,40865907
greedy_dist2_cvcy_count_yc,90,142,34364776
greedy_dist2_cvcy_count_yc,76,109,27142917
greedy_dist2_cvcy_count_yc,62,104,20500821
greedy_dist2_cvcy_count_yc,69,96,20914428
greedy_dist2_cvcy_count_yc,67,99,20429596
greedy_dist2_cvcy_count_yc,63,100,21441354
greedy_dist2_cvcy_count_yc,68,107,20775808
greedy_dist2_cvcy_count_yc,48,96,17127317
greedy_dist2_cvcy_count_yc,45,74,14347334
greedy_dist2_cvcy_count_yc,51,74,13326057
greedy_dist2_cvcy_count_yc,75,97,17799797
greedy_dist2_cvcy_count_yc,88,71,10300498
greedy_dist2_cvcy_count_yc,73,112,19034585
greedy_dist2_cvcy_count_yc,61,85,19176993
greedy_dist2_cvcy_count_yc,81,86,19659911
greedy_dist2_cvcy_count_yc,64,91,17211437
greedy_dist2_cvcy_count_yc,60,82,17555934
greedy_dist2_cvcy_count_yc,57,83,15832908
greedy_dist2_cvcy_count_yc,55,76,15381565
greedy_dist2_cvcy_count_yc,64,73,16094798
greedy_dist2_cvcy_count_yc,64,85,16049557
greedy_dist2_cvcy_count_yc,68,84,16730063
greedy_dist2_cvcy_count_yc,71,94,18716813
greedy_dist2_cvcy_count_yc,69,98,18699256
greedy_dist2_cvcy_count_yc,77,94,20549388
greedy_dist2_cvcy_count_yc,63,93,18306256
greedy_dist2_cvcy_count_yc,56,80,16701863
greedy_dist2_cvcy_count_yc,54,72,14798241
greedy_dist2_cvcy_count_yc,78,95,18185653
greedy_dist2_cvcy_count_yc,72,104,20090766
greedy_dist2_cvcy_count_yc,60,91,19218342
greedy_dist2_cvcy_count_yc,83,113,22877113
greedy_dist2_cvcy_count_yc,81,126,24776805
greedy_dist2_cvcy_count_yc,94,136,30913096
greedy_dist2_cvcy_count_yc,132,182,44484116
greedy_dist2_cvcy_count_yc,88,174,39602662
greedy_dist2_cvcy_count_yc,63,111,28256051
greedy_dist2_cvcy_count_yc,67,89,20761373
