config,n_dets,n_trks,time_ns
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,58,28,8307794
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,55,32,7699013
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,54,27,7940639
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,45,29,6716185
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,50,27,7113125
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,114,59,14029337
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,102,62,29735112
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,93,76,28906215
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,99,95,25952778
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,100,90,30943406
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,105,103,28772950
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,105,92,30065450
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,96,108,31602608
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,95,89,31866926
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,88,102,27781615
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,88,91,29586678
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,95,90,29401788
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,94,100,28407187
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,111,100,32989312
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,106,89,30924742
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,93,96,26476031
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,90,99,26794948
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,93,85,28822341
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,103,88,28859990
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,93,115,27909300
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,114,104,34912723
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,111,99,31681464
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,127,113,31329627
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,119,106,34713095
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,139,108,36257017
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,146,127,39151056
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,145,121,41280796
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,124,109,39025715
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,128,116,36091263
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,147,105,38127552
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,132,119,34287892
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,134,115,36076015
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,113,94,25164467
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,93,72,18226734
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,118,64,19245701
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,151,65,21980215
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,136,82,23218363
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,131,85,26727294
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,123,96,27151655
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,122,100,29324976
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,124,98,30242746
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,58,21,4743062
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,56,26,7737935
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,68,20,12892545
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,57,25,9598059
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,66,30,11262633
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,68,35,9625600
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,55,33,8448022
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,51,29,7774692
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,62,28,8227817
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,57,33,7741522
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,77,43,9979612
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,66,32,9466557
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,61,34,8326139
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,62,24,9178357
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,28,7788108
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,54,37,9260618
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,69,34,9730233
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,58,35,9150235
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,54,35,11167098
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,48,26,7517660
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,53,26,7014002
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,52,29,7152337
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,50,27,7051722
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,54,29,7435308
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,44,25,7049438
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,50,28,7319104
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,43,30,6910121
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,45,33,6962788
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,43,30,7560629
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,41,27,7076037
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,35,30,6318472
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,53,35,8050390
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,37,27,7104589
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,45,28,6432522
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,44,28,6496449
