experiment,robot_x,robot_y,robot_z,gt1_x,gt1_y,gt1_z,track1_x,track1_y,track1_z,track1_id,track1_conf,gt2_x,gt2_y,gt2_z,track2_x,track2_y,track2_z,track2_id,track2_conf,unmatched_trks,n_dets,n_trks,delta_t
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,719588
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,613626
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,208796
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,461557
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,580904
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,178689
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,934456
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,611913
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,783069
mocap_robot_static_1,-2.7748260051359037,2.5210508934027174,0.3530980861694267,1.0497752562044944,3.6536861533345033,1.028297067535608,,,,,,-0.704229158378226,0.0368464787944673,0.9424706154491543,,,,,,0,0,0,346809
