experiment,robot_x,robot_y,robot_z,gt1_x,gt1_y,gt1_z,track1_x,track1_y,track1_z,track1_id,track1_conf,gt2_x,gt2_y,gt2_z,track2_x,track2_y,track2_z,track2_id,track2_conf,unmatched_trks
mocap_robot_static_2,-2.7746520816280538,2.5207493852359386,0.35299458131986944,1.8333839231618179,-1.2567319652124982,1.0053706173529895,,,,,,-0.634206369876776,0.0671739222923317,0.9622915016025202,,,,,,0
mocap_robot_static_2,-2.7746520816280538,2.5207493852359386,0.35299458131986944,1.8333839231618179,-1.2567319652124982,1.0053706173529895,,,,,,-0.634206369876776,0.0671739222923317,0.9622915016025202,,,,,,0
mocap_robot_static_2,-2.7747736434570784,2.5207631003817825,0.35324677377239866,-0.41739510405235364,3.4453736200603498,1.0298979139755196,,,,,,-1.6174010095133373,0.051379262986527036,0.9397603824092748,,,,,,0
mocap_robot_static_2,-2.7744863555661583,2.5206354013668766,0.3531114780942216,-0.4182005482612744,3.444877882041955,1.0295078425813449,,,,,,-1.6195545249347902,0.052982956385403374,0.9397470864282393,,,,,,0
mocap_robot_static_2,-2.7749314942844507,2.5210292807431185,0.3533980294080495,-0.420753936530077,3.4432400455791226,1.0291009005375822,,,,,,-1.6257002576421782,0.05686122061051024,0.9393438225772947,,,,,,0
mocap_robot_static_2,-2.7749265717161737,2.5210418933330487,0.35337632753392084,-0.42613916062738894,3.436681957884728,1.027226309127606,,,,,,-1.6393464436002056,0.06408564495195307,0.9413528119199377,,,,,,0
mocap_robot_static_2,-2.7749216626600246,2.5210551001734673,0.3533751395651103,-0.4283280978399666,3.4348007956926527,1.0266584447597105,,,,,,-1.642388186098511,0.06493573489372056,0.9426564924803756,,,,,,0
mocap_robot_static_2,-2.774624289432091,2.5209164112493214,0.3533041264685632,-0.43851254226529457,3.4282165034766625,1.0237893950179404,,,,,,-1.6475363819205147,0.06743079931775962,0.9492821314866221,,,,,,0
mocap_robot_static_2,-2.774943916792335,2.5210595510042006,0.3534173318712806,-0.4395543077228143,3.4274812974419158,1.0235629970296485,,,,,,-1.647638586487843,0.06779794784910521,0.9499226264424765,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774616170509335,2.52092898849811,0.35331158053172484,-0.44739157642727106,3.423368731955144,1.0226887666710867,,,,,,-1.6474289984597905,0.07071310332970215,0.9518948076075184,,,,,,0
mocap_robot_static_2,-2.774876921008762,2.521105709308577,0.3531221568674132,-0.7730548341970999,3.128511872134285,1.005464067956419,,,,,,-1.3185074568207027,0.23628978450521412,0.944804602497683,,,,,,0
mocap_robot_static_2,-2.774876921008762,2.521105709308577,0.3531221568674132,-0.7730548341970999,3.128511872134285,1.005464067956419,,,,,,-1.3185074568207027,0.23628978450521412,0.944804602497683,,,,,,0
mocap_robot_static_2,-2.774876921008762,2.521105709308577,0.3531221568674132,-0.7730548341970999,3.128511872134285,1.005464067956419,,,,,,-1.3185074568207027,0.23628978450521412,0.944804602497683,,,,,,0
mocap_robot_static_2,-2.774876921008762,2.521105709308577,0.3531221568674132,-0.7730548341970999,3.128511872134285,1.005464067956419,,,,,,-1.3185074568207027,0.23628978450521412,0.944804602497683,,,,,,0
mocap_robot_static_2,-2.774876921008762,2.521105709308577,0.3531221568674132,-0.7730548341970999,3.128511872134285,1.005464067956419,,,,,,-1.3185074568207027,0.23628978450521412,0.944804602497683,,,,,,0
mocap_robot_static_2,-2.774876921008762,2.521105709308577,0.3531221568674132,-0.7730548341970999,3.128511872134285,1.005464067956419,,,,,,-1.3185074568207027,0.23628978450521412,0.944804602497683,,,,,,0
mocap_robot_static_2,-2.7744131708631325,2.5206412896117945,0.35286093674286184,-1.1228248095303084,2.5627588581012937,1.014238593633576,,,,,,-1.1187412126529284,0.6175663809248374,0.9613775467373136,,,,,,0
mocap_robot_static_2,-2.7744131708631325,2.5206412896117945,0.35286093674286184,-1.1228248095303084,2.5627588581012937,1.014238593633576,,,,,,-1.1187412126529284,0.6175663809248374,0.9613775467373136,,,,,,0
mocap_robot_static_2,-2.7744131708631325,2.5206412896117945,0.35286093674286184,-1.1228248095303084,2.5627588581012937,1.014238593633576,,,,,,-1.1187412126529284,0.6175663809248374,0.9613775467373136,,,,,,0
